"Notes"	"Age of Mother Year"	"Age of Mother Year Code"	"Plurality or Multiple Birth"	"Plurality or Multiple Birth Code"	"LMP Gestational Age Weekly"	"LMP Gestational Age Weekly Code"	Births
	"30 years"	"30"	"Single"	"1"	"Unknown or Not Stated"	"99"	149
	"30 years"	"30"	"Twin"	"2"	"17 weeks"	"17"	1
	"30 years"	"30"	"Twin"	"2"	"18 weeks"	"18"	4
	"30 years"	"30"	"Twin"	"2"	"19 weeks"	"19"	2
	"30 years"	"30"	"Twin"	"2"	"20 weeks"	"20"	22
	"30 years"	"30"	"Twin"	"2"	"21 weeks"	"21"	17
	"30 years"	"30"	"Twin"	"2"	"22 weeks"	"22"	27
	"30 years"	"30"	"Twin"	"2"	"23 weeks"	"23"	38
	"30 years"	"30"	"Twin"	"2"	"24 weeks"	"24"	38
	"30 years"	"30"	"Twin"	"2"	"25 weeks"	"25"	65
	"30 years"	"30"	"Twin"	"2"	"26 weeks"	"26"	51
	"30 years"	"30"	"Twin"	"2"	"27 weeks"	"27"	87
	"30 years"	"30"	"Twin"	"2"	"28 weeks"	"28"	65
	"30 years"	"30"	"Twin"	"2"	"29 weeks"	"29"	103
	"30 years"	"30"	"Twin"	"2"	"30 weeks"	"30"	118
	"30 years"	"30"	"Twin"	"2"	"31 weeks"	"31"	199
	"30 years"	"30"	"Twin"	"2"	"32 weeks"	"32"	276
	"30 years"	"30"	"Twin"	"2"	"33 weeks"	"33"	371
	"30 years"	"30"	"Twin"	"2"	"34 weeks"	"34"	703
	"30 years"	"30"	"Twin"	"2"	"35 weeks"	"35"	833
	"30 years"	"30"	"Twin"	"2"	"36 weeks"	"36"	1337
	"30 years"	"30"	"Twin"	"2"	"37 weeks"	"37"	1645
	"30 years"	"30"	"Twin"	"2"	"38 weeks"	"38"	1149
	"30 years"	"30"	"Twin"	"2"	"39 weeks"	"39"	284
	"30 years"	"30"	"Twin"	"2"	"40 weeks"	"40"	161
	"30 years"	"30"	"Twin"	"2"	"41 weeks"	"41"	114
	"30 years"	"30"	"Twin"	"2"	"42 weeks"	"42"	37
	"30 years"	"30"	"Twin"	"2"	"43 weeks"	"43"	23
	"30 years"	"30"	"Twin"	"2"	"44 weeks"	"44"	16
	"30 years"	"30"	"Twin"	"2"	"45 weeks"	"45"	10
	"30 years"	"30"	"Twin"	"2"	"46 weeks"	"46"	10
	"30 years"	"30"	"Twin"	"2"	"47 weeks"	"47"	4
	"30 years"	"30"	"Twin"	"2"	"Unknown or Not Stated"	"99"	4
	"30 years"	"30"	"Triplet"	"3"	"21 weeks"	"21"	3
	"30 years"	"30"	"Triplet"	"3"	"22 weeks"	"22"	7
	"30 years"	"30"	"Triplet"	"3"	"23 weeks"	"23"	3
	"30 years"	"30"	"Triplet"	"3"	"25 weeks"	"25"	3
	"30 years"	"30"	"Triplet"	"3"	"28 weeks"	"28"	4
	"30 years"	"30"	"Triplet"	"3"	"29 weeks"	"29"	3
	"30 years"	"30"	"Triplet"	"3"	"30 weeks"	"30"	23
	"30 years"	"30"	"Triplet"	"3"	"31 weeks"	"31"	15
	"30 years"	"30"	"Triplet"	"3"	"32 weeks"	"32"	33
	"30 years"	"30"	"Triplet"	"3"	"33 weeks"	"33"	34
	"30 years"	"30"	"Triplet"	"3"	"34 weeks"	"34"	31
	"30 years"	"30"	"Triplet"	"3"	"35 weeks"	"35"	15
	"30 years"	"30"	"Triplet"	"3"	"38 weeks"	"38"	3
	"30 years"	"30"	"Triplet"	"3"	"39 weeks"	"39"	1
	"30 years"	"30"	"Triplet"	"3"	"40 weeks"	"40"	3
	"30 years"	"30"	"Triplet"	"3"	"42 weeks"	"42"	3
	"30 years"	"30"	"Quadruplet"	"4"	"22 weeks"	"22"	4
	"30 years"	"30"	"Quadruplet"	"4"	"30 weeks"	"30"	2
	"30 years"	"30"	"Quadruplet"	"4"	"31 weeks"	"31"	1
	"30 years"	"30"	"Quadruplet"	"4"	"32 weeks"	"32"	3
	"30 years"	"30"	"Quadruplet"	"4"	"35 weeks"	"35"	2
	"31 years"	"31"	"Single"	"1"	"17 weeks"	"17"	13
	"31 years"	"31"	"Single"	"1"	"18 weeks"	"18"	23
	"31 years"	"31"	"Single"	"1"	"19 weeks"	"19"	31
	"31 years"	"31"	"Single"	"1"	"20 weeks"	"20"	45
	"31 years"	"31"	"Single"	"1"	"21 weeks"	"21"	54
	"31 years"	"31"	"Single"	"1"	"22 weeks"	"22"	68
	"31 years"	"31"	"Single"	"1"	"23 weeks"	"23"	103
	"31 years"	"31"	"Single"	"1"	"24 weeks"	"24"	158
	"31 years"	"31"	"Single"	"1"	"25 weeks"	"25"	181
	"31 years"	"31"	"Single"	"1"	"26 weeks"	"26"	192
	"31 years"	"31"	"Single"	"1"	"27 weeks"	"27"	222
	"31 years"	"31"	"Single"	"1"	"28 weeks"	"28"	309
	"31 years"	"31"	"Single"	"1"	"29 weeks"	"29"	407
	"31 years"	"31"	"Single"	"1"	"30 weeks"	"30"	527
	"31 years"	"31"	"Single"	"1"	"31 weeks"	"31"	685
	"31 years"	"31"	"Single"	"1"	"32 weeks"	"32"	990
	"31 years"	"31"	"Single"	"1"	"33 weeks"	"33"	1562
	"31 years"	"31"	"Single"	"1"	"34 weeks"	"34"	2762
	"31 years"	"31"	"Single"	"1"	"35 weeks"	"35"	4285
	"31 years"	"31"	"Single"	"1"	"36 weeks"	"36"	8448
	"31 years"	"31"	"Single"	"1"	"37 weeks"	"37"	21004
	"31 years"	"31"	"Single"	"1"	"38 weeks"	"38"	35767
	"31 years"	"31"	"Single"	"1"	"39 weeks"	"39"	72751
	"31 years"	"31"	"Single"	"1"	"40 weeks"	"40"	43989
	"31 years"	"31"	"Single"	"1"	"41 weeks"	"41"	17580
	"31 years"	"31"	"Single"	"1"	"42 weeks"	"42"	5318
	"31 years"	"31"	"Single"	"1"	"43 weeks"	"43"	2490
	"31 years"	"31"	"Single"	"1"	"44 weeks"	"44"	1300
	"31 years"	"31"	"Single"	"1"	"45 weeks"	"45"	687
	"31 years"	"31"	"Single"	"1"	"46 weeks"	"46"	430
	"31 years"	"31"	"Single"	"1"	"47 weeks"	"47"	344
	"31 years"	"31"	"Single"	"1"	"Unknown or Not Stated"	"99"	153
	"31 years"	"31"	"Twin"	"2"	"17 weeks"	"17"	1
	"31 years"	"31"	"Twin"	"2"	"18 weeks"	"18"	3
	"31 years"	"31"	"Twin"	"2"	"19 weeks"	"19"	10
	"31 years"	"31"	"Twin"	"2"	"20 weeks"	"20"	12
	"31 years"	"31"	"Twin"	"2"	"21 weeks"	"21"	15
	"31 years"	"31"	"Twin"	"2"	"22 weeks"	"22"	19
	"31 years"	"31"	"Twin"	"2"	"23 weeks"	"23"	31
	"31 years"	"31"	"Twin"	"2"	"24 weeks"	"24"	27
	"31 years"	"31"	"Twin"	"2"	"25 weeks"	"25"	50
	"31 years"	"31"	"Twin"	"2"	"26 weeks"	"26"	58
	"31 years"	"31"	"Twin"	"2"	"27 weeks"	"27"	66
	"31 years"	"31"	"Twin"	"2"	"28 weeks"	"28"	72
	"31 years"	"31"	"Twin"	"2"	"29 weeks"	"29"	84
	"31 years"	"31"	"Twin"	"2"	"30 weeks"	"30"	136
	"31 years"	"31"	"Twin"	"2"	"31 weeks"	"31"	173
	"31 years"	"31"	"Twin"	"2"	"32 weeks"	"32"	325
	"31 years"	"31"	"Twin"	"2"	"33 weeks"	"33"	407
	"31 years"	"31"	"Twin"	"2"	"34 weeks"	"34"	665
	"31 years"	"31"	"Twin"	"2"	"35 weeks"	"35"	925
	"31 years"	"31"	"Twin"	"2"	"36 weeks"	"36"	1301
	"31 years"	"31"	"Twin"	"2"	"37 weeks"	"37"	1663
	"31 years"	"31"	"Twin"	"2"	"38 weeks"	"38"	1095
	"31 years"	"31"	"Twin"	"2"	"39 weeks"	"39"	280
	"31 years"	"31"	"Twin"	"2"	"40 weeks"	"40"	183
	"31 years"	"31"	"Twin"	"2"	"41 weeks"	"41"	86
	"31 years"	"31"	"Twin"	"2"	"42 weeks"	"42"	35
	"31 years"	"31"	"Twin"	"2"	"43 weeks"	"43"	25
	"31 years"	"31"	"Twin"	"2"	"44 weeks"	"44"	6
	"31 years"	"31"	"Twin"	"2"	"45 weeks"	"45"	10
	"31 years"	"31"	"Twin"	"2"	"46 weeks"	"46"	4
	"31 years"	"31"	"Twin"	"2"	"47 weeks"	"47"	2
	"31 years"	"31"	"Twin"	"2"	"Unknown or Not Stated"	"99"	4
	"31 years"	"31"	"Triplet"	"3"	"23 weeks"	"23"	6
	"31 years"	"31"	"Triplet"	"3"	"24 weeks"	"24"	5
	"31 years"	"31"	"Triplet"	"3"	"25 weeks"	"25"	2
	"31 years"	"31"	"Triplet"	"3"	"26 weeks"	"26"	4
	"31 years"	"31"	"Triplet"	"3"	"27 weeks"	"27"	2
	"31 years"	"31"	"Triplet"	"3"	"28 weeks"	"28"	5
	"31 years"	"31"	"Triplet"	"3"	"29 weeks"	"29"	9
	"31 years"	"31"	"Triplet"	"3"	"30 weeks"	"30"	13
	"31 years"	"31"	"Triplet"	"3"	"31 weeks"	"31"	22
	"31 years"	"31"	"Triplet"	"3"	"32 weeks"	"32"	16
	"31 years"	"31"	"Triplet"	"3"	"33 weeks"	"33"	21
	"31 years"	"31"	"Triplet"	"3"	"34 weeks"	"34"	48
	"31 years"	"31"	"Triplet"	"3"	"35 weeks"	"35"	15
	"31 years"	"31"	"Triplet"	"3"	"36 weeks"	"36"	10
	"31 years"	"31"	"Triplet"	"3"	"38 weeks"	"38"	4
	"31 years"	"31"	"Triplet"	"3"	"40 weeks"	"40"	3
	"31 years"	"31"	"Quadruplet"	"4"	"27 weeks"	"27"	4
	"31 years"	"31"	"Quadruplet"	"4"	"28 weeks"	"28"	4
	"31 years"	"31"	"Quadruplet"	"4"	"40 weeks"	"40"	1
	"32 years"	"32"	"Single"	"1"	"17 weeks"	"17"	15
	"32 years"	"32"	"Single"	"1"	"18 weeks"	"18"	26
	"32 years"	"32"	"Single"	"1"	"19 weeks"	"19"	18
	"32 years"	"32"	"Single"	"1"	"20 weeks"	"20"	41
	"32 years"	"32"	"Single"	"1"	"21 weeks"	"21"	53
	"32 years"	"32"	"Single"	"1"	"22 weeks"	"22"	56
	"32 years"	"32"	"Single"	"1"	"23 weeks"	"23"	84
	"32 years"	"32"	"Single"	"1"	"24 weeks"	"24"	136
	"32 years"	"32"	"Single"	"1"	"25 weeks"	"25"	174
	"32 years"	"32"	"Single"	"1"	"26 weeks"	"26"	187
	"32 years"	"32"	"Single"	"1"	"27 weeks"	"27"	225
	"32 years"	"32"	"Single"	"1"	"28 weeks"	"28"	292
	"32 years"	"32"	"Single"	"1"	"29 weeks"	"29"	397
	"32 years"	"32"	"Single"	"1"	"30 weeks"	"30"	481
	"32 years"	"32"	"Single"	"1"	"31 weeks"	"31"	658
	"32 years"	"32"	"Single"	"1"	"32 weeks"	"32"	928
	"32 years"	"32"	"Single"	"1"	"33 weeks"	"33"	1422
	"32 years"	"32"	"Single"	"1"	"34 weeks"	"34"	2640
	"32 years"	"32"	"Single"	"1"	"35 weeks"	"35"	4077
	"32 years"	"32"	"Single"	"1"	"36 weeks"	"36"	8011
	"32 years"	"32"	"Single"	"1"	"37 weeks"	"37"	20056
	"32 years"	"32"	"Single"	"1"	"38 weeks"	"38"	34333
	"32 years"	"32"	"Single"	"1"	"39 weeks"	"39"	69241
	"32 years"	"32"	"Single"	"1"	"40 weeks"	"40"	41309
	"32 years"	"32"	"Single"	"1"	"41 weeks"	"41"	16608
	"32 years"	"32"	"Single"	"1"	"42 weeks"	"42"	4788
	"32 years"	"32"	"Single"	"1"	"43 weeks"	"43"	2288
	"32 years"	"32"	"Single"	"1"	"44 weeks"	"44"	1164
	"32 years"	"32"	"Single"	"1"	"45 weeks"	"45"	644
	"32 years"	"32"	"Single"	"1"	"46 weeks"	"46"	374
	"32 years"	"32"	"Single"	"1"	"47 weeks"	"47"	292
	"32 years"	"32"	"Single"	"1"	"Unknown or Not Stated"	"99"	117
	"32 years"	"32"	"Twin"	"2"	"17 weeks"	"17"	4
	"32 years"	"32"	"Twin"	"2"	"18 weeks"	"18"	6
	"32 years"	"32"	"Twin"	"2"	"19 weeks"	"19"	11
	"32 years"	"32"	"Twin"	"2"	"20 weeks"	"20"	9
	"32 years"	"32"	"Twin"	"2"	"21 weeks"	"21"	10
	"32 years"	"32"	"Twin"	"2"	"22 weeks"	"22"	18
	"32 years"	"32"	"Twin"	"2"	"23 weeks"	"23"	41
	"32 years"	"32"	"Twin"	"2"	"24 weeks"	"24"	31
	"32 years"	"32"	"Twin"	"2"	"25 weeks"	"25"	21
	"32 years"	"32"	"Twin"	"2"	"26 weeks"	"26"	36
	"32 years"	"32"	"Twin"	"2"	"27 weeks"	"27"	63
	"32 years"	"32"	"Twin"	"2"	"28 weeks"	"28"	74
	"32 years"	"32"	"Twin"	"2"	"29 weeks"	"29"	117
	"32 years"	"32"	"Twin"	"2"	"30 weeks"	"30"	119
	"32 years"	"32"	"Twin"	"2"	"31 weeks"	"31"	190
	"32 years"	"32"	"Twin"	"2"	"32 weeks"	"32"	306
	"32 years"	"32"	"Twin"	"2"	"33 weeks"	"33"	344
	"32 years"	"32"	"Twin"	"2"	"34 weeks"	"34"	702
	"32 years"	"32"	"Twin"	"2"	"35 weeks"	"35"	857
	"32 years"	"32"	"Twin"	"2"	"36 weeks"	"36"	1422
	"32 years"	"32"	"Twin"	"2"	"37 weeks"	"37"	1667
	"32 years"	"32"	"Twin"	"2"	"38 weeks"	"38"	1153
	"32 years"	"32"	"Twin"	"2"	"39 weeks"	"39"	346
	"32 years"	"32"	"Twin"	"2"	"40 weeks"	"40"	162
	"32 years"	"32"	"Twin"	"2"	"41 weeks"	"41"	83
	"32 years"	"32"	"Twin"	"2"	"42 weeks"	"42"	53
	"32 years"	"32"	"Twin"	"2"	"43 weeks"	"43"	17
	"32 years"	"32"	"Twin"	"2"	"44 weeks"	"44"	15
	"32 years"	"32"	"Twin"	"2"	"45 weeks"	"45"	16
	"32 years"	"32"	"Twin"	"2"	"46 weeks"	"46"	8
	"32 years"	"32"	"Twin"	"2"	"47 weeks"	"47"	8
	"32 years"	"32"	"Twin"	"2"	"Unknown or Not Stated"	"99"	2
	"32 years"	"32"	"Triplet"	"3"	"19 weeks"	"19"	3
	"32 years"	"32"	"Triplet"	"3"	"22 weeks"	"22"	2
	"32 years"	"32"	"Triplet"	"3"	"23 weeks"	"23"	3
	"32 years"	"32"	"Triplet"	"3"	"24 weeks"	"24"	3
	"32 years"	"32"	"Triplet"	"3"	"25 weeks"	"25"	3
	"32 years"	"32"	"Triplet"	"3"	"26 weeks"	"26"	4
	"32 years"	"32"	"Triplet"	"3"	"27 weeks"	"27"	4
	"32 years"	"32"	"Triplet"	"3"	"28 weeks"	"28"	3
	"32 years"	"32"	"Triplet"	"3"	"29 weeks"	"29"	14
	"32 years"	"32"	"Triplet"	"3"	"30 weeks"	"30"	21
	"32 years"	"32"	"Triplet"	"3"	"31 weeks"	"31"	9
	"32 years"	"32"	"Triplet"	"3"	"32 weeks"	"32"	33
	"32 years"	"32"	"Triplet"	"3"	"33 weeks"	"33"	21
	"32 years"	"32"	"Triplet"	"3"	"34 weeks"	"34"	30
	"32 years"	"32"	"Triplet"	"3"	"35 weeks"	"35"	42
	"32 years"	"32"	"Triplet"	"3"	"36 weeks"	"36"	3
	"32 years"	"32"	"Triplet"	"3"	"37 weeks"	"37"	4
	"32 years"	"32"	"Triplet"	"3"	"38 weeks"	"38"	6
	"32 years"	"32"	"Triplet"	"3"	"39 weeks"	"39"	3
	"32 years"	"32"	"Quadruplet"	"4"	"25 weeks"	"25"	4
	"33 years"	"33"	"Single"	"1"	"17 weeks"	"17"	14
	"33 years"	"33"	"Single"	"1"	"18 weeks"	"18"	17
	"33 years"	"33"	"Single"	"1"	"19 weeks"	"19"	28
	"33 years"	"33"	"Single"	"1"	"20 weeks"	"20"	41
	"33 years"	"33"	"Single"	"1"	"21 weeks"	"21"	43
	"33 years"	"33"	"Single"	"1"	"22 weeks"	"22"	41
	"33 years"	"33"	"Single"	"1"	"23 weeks"	"23"	112
	"33 years"	"33"	"Single"	"1"	"24 weeks"	"24"	116
	"33 years"	"33"	"Single"	"1"	"25 weeks"	"25"	164
	"33 years"	"33"	"Single"	"1"	"26 weeks"	"26"	172
	"33 years"	"33"	"Single"	"1"	"27 weeks"	"27"	213
	"33 years"	"33"	"Single"	"1"	"28 weeks"	"28"	294
	"33 years"	"33"	"Single"	"1"	"29 weeks"	"29"	386
	"33 years"	"33"	"Single"	"1"	"30 weeks"	"30"	449
	"33 years"	"33"	"Single"	"1"	"31 weeks"	"31"	625
	"33 years"	"33"	"Single"	"1"	"32 weeks"	"32"	870
	"33 years"	"33"	"Single"	"1"	"33 weeks"	"33"	1355
	"33 years"	"33"	"Single"	"1"	"34 weeks"	"34"	2502
	"33 years"	"33"	"Single"	"1"	"35 weeks"	"35"	3834
	"33 years"	"33"	"Single"	"1"	"36 weeks"	"36"	7775
	"33 years"	"33"	"Single"	"1"	"37 weeks"	"37"	18609
	"33 years"	"33"	"Single"	"1"	"38 weeks"	"38"	31946
	"33 years"	"33"	"Single"	"1"	"39 weeks"	"39"	64201
	"33 years"	"33"	"Single"	"1"	"40 weeks"	"40"	36695
	"33 years"	"33"	"Single"	"1"	"41 weeks"	"41"	14582
	"33 years"	"33"	"Single"	"1"	"42 weeks"	"42"	4319
	"33 years"	"33"	"Single"	"1"	"43 weeks"	"43"	2044
	"33 years"	"33"	"Single"	"1"	"44 weeks"	"44"	1051
	"33 years"	"33"	"Single"	"1"	"45 weeks"	"45"	532
	"33 years"	"33"	"Single"	"1"	"46 weeks"	"46"	356
	"33 years"	"33"	"Single"	"1"	"47 weeks"	"47"	242
	"33 years"	"33"	"Single"	"1"	"Unknown or Not Stated"	"99"	131
	"33 years"	"33"	"Twin"	"2"	"17 weeks"	"17"	4
	"33 years"	"33"	"Twin"	"2"	"18 weeks"	"18"	6
	"33 years"	"33"	"Twin"	"2"	"19 weeks"	"19"	9
	"33 years"	"33"	"Twin"	"2"	"20 weeks"	"20"	14
	"33 years"	"33"	"Twin"	"2"	"21 weeks"	"21"	15
	"33 years"	"33"	"Twin"	"2"	"22 weeks"	"22"	18
	"33 years"	"33"	"Twin"	"2"	"23 weeks"	"23"	32
	"33 years"	"33"	"Twin"	"2"	"24 weeks"	"24"	27
	"33 years"	"33"	"Twin"	"2"	"25 weeks"	"25"	40
	"33 years"	"33"	"Twin"	"2"	"26 weeks"	"26"	46
	"33 years"	"33"	"Twin"	"2"	"27 weeks"	"27"	44
	"33 years"	"33"	"Twin"	"2"	"28 weeks"	"28"	64
	"33 years"	"33"	"Twin"	"2"	"29 weeks"	"29"	88
	"33 years"	"33"	"Twin"	"2"	"30 weeks"	"30"	110
	"33 years"	"33"	"Twin"	"2"	"31 weeks"	"31"	118
	"33 years"	"33"	"Twin"	"2"	"32 weeks"	"32"	244
	"33 years"	"33"	"Twin"	"2"	"33 weeks"	"33"	364
	"33 years"	"33"	"Twin"	"2"	"34 weeks"	"34"	621
	"33 years"	"33"	"Twin"	"2"	"35 weeks"	"35"	804
	"33 years"	"33"	"Twin"	"2"	"36 weeks"	"36"	1213
	"33 years"	"33"	"Twin"	"2"	"37 weeks"	"37"	1704
	"33 years"	"33"	"Twin"	"2"	"38 weeks"	"38"	1107
	"33 years"	"33"	"Twin"	"2"	"39 weeks"	"39"	257
	"33 years"	"33"	"Twin"	"2"	"40 weeks"	"40"	139
	"33 years"	"33"	"Twin"	"2"	"41 weeks"	"41"	69
	"33 years"	"33"	"Twin"	"2"	"42 weeks"	"42"	27
	"33 years"	"33"	"Twin"	"2"	"43 weeks"	"43"	15
	"33 years"	"33"	"Twin"	"2"	"44 weeks"	"44"	22
	"33 years"	"33"	"Twin"	"2"	"45 weeks"	"45"	4
	"33 years"	"33"	"Twin"	"2"	"46 weeks"	"46"	8
	"33 years"	"33"	"Twin"	"2"	"47 weeks"	"47"	4
	"33 years"	"33"	"Twin"	"2"	"Unknown or Not Stated"	"99"	3
	"33 years"	"33"	"Triplet"	"3"	"17 weeks"	"17"	3
	"33 years"	"33"	"Triplet"	"3"	"20 weeks"	"20"	3
	"33 years"	"33"	"Triplet"	"3"	"21 weeks"	"21"	2
	"33 years"	"33"	"Triplet"	"3"	"26 weeks"	"26"	3
	"33 years"	"33"	"Triplet"	"3"	"27 weeks"	"27"	9
	"33 years"	"33"	"Triplet"	"3"	"28 weeks"	"28"	3
	"33 years"	"33"	"Triplet"	"3"	"29 weeks"	"29"	3
	"33 years"	"33"	"Triplet"	"3"	"30 weeks"	"30"	23
	"33 years"	"33"	"Triplet"	"3"	"31 weeks"	"31"	24
	"33 years"	"33"	"Triplet"	"3"	"32 weeks"	"32"	24
	"33 years"	"33"	"Triplet"	"3"	"33 weeks"	"33"	46
	"33 years"	"33"	"Triplet"	"3"	"34 weeks"	"34"	35
	"33 years"	"33"	"Triplet"	"3"	"35 weeks"	"35"	18
	"33 years"	"33"	"Triplet"	"3"	"36 weeks"	"36"	4
	"33 years"	"33"	"Triplet"	"3"	"38 weeks"	"38"	3
	"33 years"	"33"	"Triplet"	"3"	"39 weeks"	"39"	9
	"33 years"	"33"	"Triplet"	"3"	"45 weeks"	"45"	3
	"33 years"	"33"	"Quadruplet"	"4"	"26 weeks"	"26"	3
	"33 years"	"33"	"Quadruplet"	"4"	"28 weeks"	"28"	3
	"33 years"	"33"	"Quadruplet"	"4"	"32 weeks"	"32"	1
	"34 years"	"34"	"Single"	"1"	"17 weeks"	"17"	10
	"34 years"	"34"	"Single"	"1"	"18 weeks"	"18"	16
	"34 years"	"34"	"Single"	"1"	"19 weeks"	"19"	24
	"34 years"	"34"	"Single"	"1"	"20 weeks"	"20"	31
	"34 years"	"34"	"Single"	"1"	"21 weeks"	"21"	54
	"34 years"	"34"	"Single"	"1"	"22 weeks"	"22"	79
	"34 years"	"34"	"Single"	"1"	"23 weeks"	"23"	71
	"34 years"	"34"	"Single"	"1"	"24 weeks"	"24"	120
	"34 years"	"34"	"Single"	"1"	"25 weeks"	"25"	126
	"34 years"	"34"	"Single"	"1"	"26 weeks"	"26"	179
	"34 years"	"34"	"Single"	"1"	"27 weeks"	"27"	179
	"34 years"	"34"	"Single"	"1"	"28 weeks"	"28"	272
	"34 years"	"34"	"Single"	"1"	"29 weeks"	"29"	304
	"34 years"	"34"	"Single"	"1"	"30 weeks"	"30"	436
	"34 years"	"34"	"Single"	"1"	"31 weeks"	"31"	557
	"34 years"	"34"	"Single"	"1"	"32 weeks"	"32"	819
	"34 years"	"34"	"Single"	"1"	"33 weeks"	"33"	1298
	"34 years"	"34"	"Single"	"1"	"34 weeks"	"34"	2444
	"34 years"	"34"	"Single"	"1"	"35 weeks"	"35"	3608
	"34 years"	"34"	"Single"	"1"	"36 weeks"	"36"	7286
	"34 years"	"34"	"Single"	"1"	"37 weeks"	"37"	17501
	"34 years"	"34"	"Single"	"1"	"38 weeks"	"38"	29695
	"34 years"	"34"	"Single"	"1"	"39 weeks"	"39"	58752
	"34 years"	"34"	"Single"	"1"	"40 weeks"	"40"	32737
	"34 years"	"34"	"Single"	"1"	"41 weeks"	"41"	13074
	"34 years"	"34"	"Single"	"1"	"42 weeks"	"42"	3713
	"34 years"	"34"	"Single"	"1"	"43 weeks"	"43"	1834
	"34 years"	"34"	"Single"	"1"	"44 weeks"	"44"	915
	"34 years"	"34"	"Single"	"1"	"45 weeks"	"45"	441
	"34 years"	"34"	"Single"	"1"	"46 weeks"	"46"	297
	"34 years"	"34"	"Single"	"1"	"47 weeks"	"47"	221
	"34 years"	"34"	"Single"	"1"	"Unknown or Not Stated"	"99"	106
	"34 years"	"34"	"Twin"	"2"	"17 weeks"	"17"	11
	"34 years"	"34"	"Twin"	"2"	"18 weeks"	"18"	2
	"34 years"	"34"	"Twin"	"2"	"19 weeks"	"19"	7
	"34 years"	"34"	"Twin"	"2"	"20 weeks"	"20"	6
	"34 years"	"34"	"Twin"	"2"	"21 weeks"	"21"	16
	"34 years"	"34"	"Twin"	"2"	"22 weeks"	"22"	18
	"34 years"	"34"	"Twin"	"2"	"23 weeks"	"23"	18
	"34 years"	"34"	"Twin"	"2"	"24 weeks"	"24"	25
	"34 years"	"34"	"Twin"	"2"	"25 weeks"	"25"	34
	"34 years"	"34"	"Twin"	"2"	"26 weeks"	"26"	25
	"34 years"	"34"	"Twin"	"2"	"27 weeks"	"27"	50
	"34 years"	"34"	"Twin"	"2"	"28 weeks"	"28"	48
	"34 years"	"34"	"Twin"	"2"	"29 weeks"	"29"	76
	"34 years"	"34"	"Twin"	"2"	"30 weeks"	"30"	102
	"34 years"	"34"	"Twin"	"2"	"31 weeks"	"31"	161
	"34 years"	"34"	"Twin"	"2"	"32 weeks"	"32"	228
	"34 years"	"34"	"Twin"	"2"	"33 weeks"	"33"	359
	"34 years"	"34"	"Twin"	"2"	"34 weeks"	"34"	613
	"34 years"	"34"	"Twin"	"2"	"35 weeks"	"35"	749
	"34 years"	"34"	"Twin"	"2"	"36 weeks"	"36"	1231
	"34 years"	"34"	"Twin"	"2"	"37 weeks"	"37"	1422
	"34 years"	"34"	"Twin"	"2"	"38 weeks"	"38"	1034
	"34 years"	"34"	"Twin"	"2"	"39 weeks"	"39"	226
	"34 years"	"34"	"Twin"	"2"	"40 weeks"	"40"	124
	"34 years"	"34"	"Twin"	"2"	"41 weeks"	"41"	48
	"34 years"	"34"	"Twin"	"2"	"42 weeks"	"42"	45
	"34 years"	"34"	"Twin"	"2"	"43 weeks"	"43"	21
	"34 years"	"34"	"Twin"	"2"	"44 weeks"	"44"	13
	"34 years"	"34"	"Twin"	"2"	"45 weeks"	"45"	12
	"34 years"	"34"	"Twin"	"2"	"46 weeks"	"46"	10
	"34 years"	"34"	"Twin"	"2"	"47 weeks"	"47"	4
	"34 years"	"34"	"Twin"	"2"	"Unknown or Not Stated"	"99"	3
	"34 years"	"34"	"Triplet"	"3"	"21 weeks"	"21"	3
	"34 years"	"34"	"Triplet"	"3"	"22 weeks"	"22"	1
	"34 years"	"34"	"Triplet"	"3"	"23 weeks"	"23"	2
	"34 years"	"34"	"Triplet"	"3"	"25 weeks"	"25"	3
	"34 years"	"34"	"Triplet"	"3"	"26 weeks"	"26"	7
	"34 years"	"34"	"Triplet"	"3"	"27 weeks"	"27"	9
	"34 years"	"34"	"Triplet"	"3"	"28 weeks"	"28"	6
	"34 years"	"34"	"Triplet"	"3"	"29 weeks"	"29"	9
	"34 years"	"34"	"Triplet"	"3"	"30 weeks"	"30"	12
	"34 years"	"34"	"Triplet"	"3"	"31 weeks"	"31"	18
	"34 years"	"34"	"Triplet"	"3"	"32 weeks"	"32"	29
	"34 years"	"34"	"Triplet"	"3"	"33 weeks"	"33"	39
	"34 years"	"34"	"Triplet"	"3"	"34 weeks"	"34"	29
	"34 years"	"34"	"Triplet"	"3"	"35 weeks"	"35"	27
	"34 years"	"34"	"Triplet"	"3"	"36 weeks"	"36"	9
	"34 years"	"34"	"Triplet"	"3"	"37 weeks"	"37"	4
	"34 years"	"34"	"Quadruplet"	"4"	"31 weeks"	"31"	4
	"34 years"	"34"	"Quadruplet"	"4"	"33 weeks"	"33"	4
	"35 years"	"35"	"Single"	"1"	"17 weeks"	"17"	18
	"35 years"	"35"	"Single"	"1"	"18 weeks"	"18"	7
	"35 years"	"35"	"Single"	"1"	"19 weeks"	"19"	23
	"35 years"	"35"	"Single"	"1"	"20 weeks"	"20"	26
	"35 years"	"35"	"Single"	"1"	"21 weeks"	"21"	26
	"35 years"	"35"	"Single"	"1"	"22 weeks"	"22"	48
	"35 years"	"35"	"Single"	"1"	"23 weeks"	"23"	75
